rental_id,rental_date,customer_id,film_id,payment_date,amount,tax
40,25-05-2005 05:09,413,579,25-05-2005 05:09,4.99,1
41,25-05-2005 05:12,174,382,25-05-2005 05:12,5.99,NULL
42,25-05-2005 05:24,523,84,25-05-2005 05:24,4.99,1
43,25-05-2005 05:39,532,564,25-05-2005 05:39,2.99,1
44,25-05-2005 05:53,207,681,25-05-2005 05:53,0.99,NULL
45,25-05-2005 05:59,436,403,25-05-2005 05:59,7.99,NULL
46,25-05-2005 06:04,7,730,25-05-2005 06:04,5.99,NULL
47,25-05-2005 06:05,35,478,25-05-2005 06:05,3.99,NULL
48,25-05-2005 06:20,282,387,25-05-2005 06:20,1.99,NULL
49,25-05-2005 06:39,498,650,25-05-2005 06:39,2.99,NULL
50,25-05-2005 06:44,18,432,25-05-2005 06:44,2.99,NULL
51,25-05-2005 06:49,256,278,25-05-2005 06:49,4.99,NULL
52,25-05-2005 06:51,507,875,25-05-2005 06:51,0.99,0.5
53,25-05-2005 07:19,569,277,25-05-2005 07:19,4.99,1
54,25-05-2005 07:23,291,611,25-05-2005 07:23,4.99,NULL
55,25-05-2005 08:26,131,252,25-05-2005 08:26,2.99,NULL
56,25-05-2005 08:28,511,298,25-05-2005 08:28,2.99,1
57,25-05-2005 08:43,6,858,25-05-2005 08:43,4.99,NULL
58,25-05-2005 08:53,323,670,25-05-2005 08:53,4.99,NULL
59,25-05-2005 08:56,408,633,25-05-2005 08:56,5.99,NULL
60,25-05-2005 08:58,470,73,25-05-2005 08:58,2.99,NULL
61,25-05-2005 09:01,250,915,25-05-2005 09:01,5.99,NULL
62,25-05-2005 09:18,419,58,25-05-2005 09:18,2.99,1
63,25-05-2005 09:19,383,873,25-05-2005 09:19,0.99,NULL
64,25-05-2005 09:21,368,16,25-05-2005 09:21,5.99,0.5
65,25-05-2005 09:32,346,776,25-05-2005 09:32,4.99,1
66,25-05-2005 09:35,86,257,25-05-2005 09:35,1.99,NULL
67,25-05-2005 09:41,119,54,25-05-2005 09:41,0.99,0.5
68,25-05-2005 09:47,120,878,25-05-2005 09:47,7.99,NULL
69,25-05-2005 10:10,305,705,25-05-2005 10:10,2.99,NULL
70,25-05-2005 10:15,73,468,25-05-2005 10:15,2.99,NULL
71,25-05-2005 10:26,100,525,25-05-2005 10:26,0.99,1
72,25-05-2005 10:52,48,489,25-05-2005 10:52,0.99,1
73,25-05-2005 11:00,391,114,25-05-2005 11:00,4.99,0.5
74,25-05-2005 11:09,265,379,25-05-2005 11:09,0.99,NULL
75,25-05-2005 11:13,510,745,25-05-2005 11:13,8.99,1
76,25-05-2005 11:30,1,663,25-05-2005 11:30,2.99,0.5
77,25-05-2005 11:31,451,287,25-05-2005 11:31,0.99,NULL
78,25-05-2005 11:35,135,887,25-05-2005 11:35,5.99,1
79,25-05-2005 12:11,245,726,25-05-2005 12:11,4.99,NULL
80,25-05-2005 12:12,314,543,25-05-2005 12:12,5.99,1
81,25-05-2005 12:15,286,572,25-05-2005 12:15,6.99,NULL
82,25-05-2005 12:17,427,304,25-05-2005 12:17,6.99,1
83,25-05-2005 12:30,131,103,25-05-2005 12:30,4.99,NULL
84,25-05-2005 12:36,492,397,25-05-2005 12:36,2.99,1
85,25-05-2005 13:05,414,103,25-05-2005 13:05,4.99,NULL
86,25-05-2005 13:36,266,491,25-05-2005 13:36,1.99,NULL
87,25-05-2005 13:52,331,348,25-05-2005 13:52,0.99,NULL
88,25-05-2005 14:13,53,480,25-05-2005 14:13,3.99,0.5
89,25-05-2005 14:28,499,471,25-05-2005 14:28,2.99,NULL
90,25-05-2005 14:31,25,654,25-05-2005 14:31,7.99,NULL
91,25-05-2005 14:57,267,28,25-05-2005 14:57,6.99,1
92,25-05-2005 15:38,302,169,25-05-2005 15:38,5.99,1
93,25-05-2005 15:54,288,951,25-05-2005 15:54,3.99,NULL
94,25-05-2005 16:03,197,366,25-05-2005 16:03,2.99,1
95,25-05-2005 16:12,400,39,25-05-2005 16:12,3.99,NULL
96,25-05-2005 16:32,49,748,25-05-2005 16:32,1.99,NULL
97,25-05-2005 16:34,263,284,25-05-2005 16:34,4.99,NULL
98,25-05-2005 16:48,269,651,25-05-2005 16:48,0.99,NULL
99,25-05-2005 16:50,44,117,25-05-2005 16:50,4.99,1
100,25-05-2005 16:50,208,571,25-05-2005 16:50,4.99,1
101,25-05-2005 17:17,468,134,25-05-2005 17:17,6.99,1
102,25-05-2005 17:22,343,82,25-05-2005 17:22,3.99,NULL
103,25-05-2005 17:30,384,735,25-05-2005 17:30,4.99,1
104,25-05-2005 17:46,310,932,25-05-2005 17:46,0.99,1
105,25-05-2005 17:54,108,173,25-05-2005 17:54,4.99,NULL
106,25-05-2005 18:18,196,791,25-05-2005 18:18,11.99,NULL
107,25-05-2005 18:28,317,621,25-05-2005 18:28,6.99,NULL
108,25-05-2005 18:30,242,724,25-05-2005 18:30,2.99,1
109,25-05-2005 18:40,503,233,25-05-2005 18:40,1.99,0.5
110,25-05-2005 18:43,19,893,25-05-2005 18:43,9.99,NULL
111,25-05-2005 18:45,227,814,25-05-2005 18:45,4.99,NULL
112,25-05-2005 18:57,500,465,25-05-2005 18:57,8.99,NULL
113,25-05-2005 19:07,93,649,25-05-2005 19:07,2.99,1
114,25-05-2005 19:12,506,982,25-05-2005 19:12,3.99,NULL
115,25-05-2005 19:13,455,164,25-05-2005 19:13,0.99,NULL
116,25-05-2005 19:27,18,973,25-05-2005 19:27,4.99,NULL
117,25-05-2005 19:30,7,931,25-05-2005 19:30,0.99,NULL
118,25-05-2005 19:31,524,191,25-05-2005 19:31,0.99,NULL
119,25-05-2005 19:37,51,300,25-05-2005 19:37,4.99,NULL
120,25-05-2005 19:37,365,8,25-05-2005 19:37,5.99,0.5
121,25-05-2005 19:41,405,234,25-05-2005 19:41,2.99,NULL
122,25-05-2005 19:46,273,638,25-05-2005 19:46,3.99,NULL
123,25-05-2005 20:26,43,390,25-05-2005 20:26,4.99,NULL
124,25-05-2005 20:46,246,48,25-05-2005 20:46,6.99,1
125,25-05-2005 20:48,368,212,25-05-2005 20:48,5.99,0.5
126,25-05-2005 21:07,439,445,25-05-2005 21:07,2.99,NULL
127,25-05-2005 21:10,94,440,25-05-2005 21:10,2.99,NULL
128,25-05-2005 21:19,40,941,25-05-2005 21:19,4.99,NULL
129,25-05-2005 21:20,23,902,25-05-2005 21:20,8.99,NULL
130,25-05-2005 21:21,56,869,25-05-2005 21:21,3.99,NULL
131,25-05-2005 21:42,325,177,25-05-2005 21:42,5.99,1
132,25-05-2005 21:46,479,738,25-05-2005 21:46,3.99,NULL
133,25-05-2005 21:48,237,89,25-05-2005 21:48,0.99,NULL
134,25-05-2005 21:48,222,491,25-05-2005 21:48,4.99,1
135,25-05-2005 21:58,304,21,25-05-2005 21:58,10.99,NULL
136,25-05-2005 22:02,504,500,25-05-2005 22:02,5.99,NULL
137,25-05-2005 22:25,560,569,25-05-2005 22:25,2.99,NULL
138,25-05-2005 22:48,586,898,25-05-2005 22:48,4.99,NULL
139,25-05-2005 23:00,257,73,25-05-2005 23:00,2.99,NULL
140,25-05-2005 23:34,354,142,25-05-2005 23:34,0.99,1
141,25-05-2005 23:34,89,176,25-05-2005 23:34,2.99,NULL
142,25-05-2005 23:43,472,963,25-05-2005 23:43,0.99,1
143,25-05-2005 23:45,297,186,25-05-2005 23:45,0.99,1
144,25-05-2005 23:49,357,368,25-05-2005 23:49,2.99,NULL
145,25-05-2005 23:59,82,852,25-05-2005 23:59,2.99,NULL
146,26-05-2005 00:07,433,313,26-05-2005 00:07,8.99,NULL
147,26-05-2005 00:17,274,138,26-05-2005 00:17,2.99,1
148,26-05-2005 00:25,142,924,26-05-2005 00:25,0.99,NULL
149,26-05-2005 00:28,319,242,26-05-2005 00:28,3.99,NULL
150,26-05-2005 00:28,429,202,26-05-2005 00:28,5.99,0.5
151,26-05-2005 00:37,14,646,26-05-2005 00:37,0.99,NULL
152,26-05-2005 00:41,57,575,26-05-2005 00:41,9.99,NULL
153,26-05-2005 00:47,348,849,26-05-2005 00:47,0.99,NULL
154,26-05-2005 00:55,185,299,26-05-2005 00:55,0.99,0.5
155,26-05-2005 01:15,551,65,26-05-2005 01:15,7.99,1
156,26-05-2005 01:19,462,702,26-05-2005 01:19,2.99,1
157,26-05-2005 01:25,344,197,26-05-2005 01:25,2.99,NULL
158,26-05-2005 01:27,354,523,26-05-2005 01:27,1.99,1
159,26-05-2005 01:34,505,757,26-05-2005 01:34,2.99,NULL
160,26-05-2005 01:46,290,410,26-05-2005 01:46,2.99,NULL
161,26-05-2005 01:51,182,646,26-05-2005 01:51,0.99,NULL
162,26-05-2005 02:02,296,272,26-05-2005 02:02,4.99,1
163,26-05-2005 02:26,104,501,26-05-2005 02:26,10.99,NULL
164,26-05-2005 02:26,151,239,26-05-2005 02:26,4.99,1
165,26-05-2005 02:28,33,600,26-05-2005 02:28,2.99,NULL
166,26-05-2005 02:49,322,850,26-05-2005 02:49,0.99,NULL
167,26-05-2005 02:50,401,190,26-05-2005 02:50,4.99,0.5
168,26-05-2005 03:07,469,595,26-05-2005 03:07,0.99,NULL
169,26-05-2005 03:09,381,382,26-05-2005 03:09,0.99,NULL
170,26-05-2005 03:11,107,806,26-05-2005 03:11,5.99,NULL
171,26-05-2005 03:14,400,979,26-05-2005 03:14,6.99,NULL
172,26-05-2005 03:17,176,630,26-05-2005 03:17,0.99,NULL
173,26-05-2005 03:42,533,786,26-05-2005 03:42,0.99,1
174,26-05-2005 03:44,552,862,26-05-2005 03:44,0.99,1
175,26-05-2005 03:46,47,947,26-05-2005 03:46,3.99,1
176,26-05-2005 03:47,250,187,26-05-2005 03:47,3.99,NULL
177,26-05-2005 04:14,548,775,26-05-2005 04:14,6.99,NULL
178,26-05-2005 04:21,196,326,26-05-2005 04:21,5.99,NULL
179,26-05-2005 04:26,19,563,26-05-2005 04:26,6.99,NULL
180,26-05-2005 04:46,75,603,26-05-2005 04:46,4.99,NULL
181,26-05-2005 04:47,587,527,26-05-2005 04:47,4.99,NULL
182,26-05-2005 04:49,237,961,26-05-2005 04:49,4.99,NULL
183,26-05-2005 05:01,254,631,26-05-2005 05:01,2.99,1
184,26-05-2005 05:29,556,429,26-05-2005 05:29,0.99,NULL
185,26-05-2005 05:30,125,571,26-05-2005 05:30,3.99,NULL
186,26-05-2005 05:32,468,391,26-05-2005 05:32,4.99,1
187,26-05-2005 05:42,515,872,26-05-2005 05:42,8.99,NULL
188,26-05-2005 05:47,243,734,26-05-2005 05:47,4.99,NULL
189,26-05-2005 06:01,247,219,26-05-2005 06:01,4.99,NULL
190,26-05-2005 06:11,533,863,26-05-2005 06:11,1.99,1
191,26-05-2005 06:14,412,951,26-05-2005 06:14,0.99,1
192,26-05-2005 06:20,437,413,26-05-2005 06:20,2.99,NULL
193,26-05-2005 06:41,270,851,26-05-2005 06:41,1.99,NULL
194,26-05-2005 06:52,29,295,26-05-2005 06:52,1.99,0.5
195,26-05-2005 06:52,564,112,26-05-2005 06:52,5.99,1
196,26-05-2005 06:55,184,43,26-05-2005 06:55,2.99,NULL
197,26-05-2005 06:59,546,915,26-05-2005 06:59,5.99,1
198,26-05-2005 07:03,54,388,26-05-2005 07:03,4.99,0.5
199,26-05-2005 07:11,71,462,26-05-2005 07:11,2.99,NULL
200,26-05-2005 07:12,321,856,26-05-2005 07:12,4.99,NULL
201,26-05-2005 07:13,444,169,26-05-2005 07:13,8.99,NULL
202,26-05-2005 07:27,20,147,26-05-2005 07:27,2.99,NULL
203,26-05-2005 07:27,109,740,26-05-2005 07:27,5.99,NULL
204,26-05-2005 07:30,528,401,26-05-2005 07:30,0.99,NULL
205,26-05-2005 07:59,114,68,26-05-2005 07:59,4.99,NULL
206,26-05-2005 08:01,345,374,26-05-2005 08:01,0.99,NULL
207,26-05-2005 08:04,47,21,26-05-2005 08:04,4.99,1
208,26-05-2005 08:10,274,803,26-05-2005 08:10,4.99,1
209,26-05-2005 08:14,379,159,26-05-2005 08:14,4.99,1
210,26-05-2005 08:14,391,391,26-05-2005 08:14,2.99,0.5
211,26-05-2005 08:33,170,872,26-05-2005 08:33,2.99,1
212,26-05-2005 08:34,59,167,26-05-2005 08:34,4.99,1
213,26-05-2005 08:44,394,329,26-05-2005 08:44,3.99,NULL
214,26-05-2005 08:48,98,319,26-05-2005 08:48,3.99,NULL
215,26-05-2005 09:02,197,149,26-05-2005 09:02,0.99,1
216,26-05-2005 09:17,91,306,26-05-2005 09:17,5.99,NULL
217,26-05-2005 09:24,121,961,26-05-2005 09:24,4.99,1
218,26-05-2005 09:27,309,496,26-05-2005 09:27,6.99,NULL
219,26-05-2005 09:41,489,676,26-05-2005 09:41,4.99,0.5
220,26-05-2005 10:06,542,279,26-05-2005 10:06,4.99,NULL
221,26-05-2005 10:14,143,783,26-05-2005 10:14,2.99,0.5
222,26-05-2005 10:14,83,602,26-05-2005 10:14,0.99,NULL
223,26-05-2005 10:15,460,686,26-05-2005 10:15,4.99,NULL
224,26-05-2005 10:18,318,933,26-05-2005 10:18,9.99,NULL
225,26-05-2005 10:27,467,141,26-05-2005 10:27,4.99,NULL
226,26-05-2005 10:44,221,911,26-05-2005 10:44,4.99,NULL
227,26-05-2005 10:51,301,48,26-05-2005 10:51,5.99,1
228,26-05-2005 10:54,571,113,26-05-2005 10:54,9.99,NULL
229,26-05-2005 11:19,312,251,26-05-2005 11:19,4.99,NULL
230,26-05-2005 11:31,58,242,26-05-2005 11:31,0.99,NULL
231,26-05-2005 11:31,365,878,26-05-2005 11:31,4.99,0.5
232,26-05-2005 11:38,256,646,26-05-2005 11:38,0.99,NULL
233,26-05-2005 11:43,531,156,26-05-2005 11:43,4.99,0.5
234,26-05-2005 11:47,566,292,26-05-2005 11:47,5.99,0.5
235,26-05-2005 11:51,119,773,26-05-2005 11:51,5.99,0.5
236,26-05-2005 11:53,446,280,26-05-2005 11:53,0.99,1
237,26-05-2005 12:15,536,54,26-05-2005 12:15,0.99,NULL
238,26-05-2005 12:30,211,112,26-05-2005 12:30,4.99,1
239,26-05-2005 12:30,49,26,26-05-2005 12:30,3.99,NULL
240,26-05-2005 12:40,103,749,26-05-2005 12:40,7.99,NULL
241,26-05-2005 12:49,245,970,26-05-2005 12:49,0.99,NULL
242,26-05-2005 13:05,214,454,26-05-2005 13:05,1.99,NULL
243,26-05-2005 13:06,543,375,26-05-2005 13:06,6.99,NULL
244,26-05-2005 13:40,257,232,26-05-2005 13:40,2.99,NULL
245,26-05-2005 13:46,158,668,26-05-2005 13:46,4.99,NULL
246,26-05-2005 13:57,240,621,26-05-2005 13:57,2.99,0.5
247,26-05-2005 14:01,102,892,26-05-2005 14:01,4.99,NULL
248,26-05-2005 14:07,545,416,26-05-2005 14:07,0.99,NULL
249,26-05-2005 14:19,472,530,26-05-2005 14:19,2.99,1
250,26-05-2005 14:30,539,81,26-05-2005 14:30,4.99,NULL
251,26-05-2005 14:35,204,948,26-05-2005 14:35,0.99,0.5
252,26-05-2005 14:39,187,267,26-05-2005 14:39,7.99,NULL
253,26-05-2005 14:43,416,650,26-05-2005 14:43,0.99,NULL
254,26-05-2005 14:43,390,398,26-05-2005 14:43,4.99,NULL
255,26-05-2005 14:52,114,719,26-05-2005 14:52,4.99,NULL
256,26-05-2005 15:20,436,702,26-05-2005 15:20,3.99,NULL
257,26-05-2005 15:27,373,563,26-05-2005 15:27,4.99,NULL
258,26-05-2005 15:28,502,773,26-05-2005 15:28,2.99,1
259,26-05-2005 15:32,482,6,26-05-2005 15:32,8.99,NULL
260,26-05-2005 15:42,21,96,26-05-2005 15:42,3.99,0.5
261,26-05-2005 15:44,414,301,26-05-2005 15:44,3.99,NULL
262,26-05-2005 15:46,236,927,26-05-2005 15:46,2.99,NULL
263,26-05-2005 15:47,449,256,26-05-2005 15:47,4.99,0.5
264,26-05-2005 16:00,251,449,26-05-2005 16:00,2.99,NULL
265,26-05-2005 16:07,303,492,26-05-2005 16:07,0.99,NULL
266,26-05-2005 16:08,263,727,26-05-2005 16:08,0.99,NULL
267,26-05-2005 16:16,417,268,26-05-2005 16:16,4.99,NULL
268,26-05-2005 16:19,75,374,26-05-2005 16:19,0.99,NULL
269,26-05-2005 16:19,322,767,26-05-2005 16:19,4.99,NULL
270,26-05-2005 16:20,200,46,26-05-2005 16:20,9.99,NULL
271,26-05-2005 16:22,92,521,26-05-2005 16:22,5.99,1
272,26-05-2005 16:27,71,216,26-05-2005 16:27,9.99,NULL
273,26-05-2005 16:29,193,349,26-05-2005 16:29,2.99,NULL
274,26-05-2005 16:48,311,142,26-05-2005 16:48,5.99,1
275,26-05-2005 17:09,133,374,26-05-2005 17:09,6.99,NULL
276,26-05-2005 17:16,58,271,26-05-2005 17:16,7.99,NULL
277,26-05-2005 17:32,45,308,26-05-2005 17:32,2.99,NULL
278,26-05-2005 17:40,214,40,26-05-2005 17:40,3.99,NULL
279,26-05-2005 18:02,384,143,26-05-2005 18:02,2.99,1
280,26-05-2005 18:36,167,413,26-05-2005 18:36,2.99,1
281,26-05-2005 18:49,582,269,26-05-2005 18:49,0.99,NULL
282,26-05-2005 18:56,282,980,26-05-2005 18:56,6.99,NULL
283,26-05-2005 19:05,242,772,26-05-2005 19:05,3.99,1
284,26-05-2005 19:21,359,77,26-05-2005 19:21,8.99,NULL
285,26-05-2005 19:41,162,545,26-05-2005 19:41,1.99,NULL
286,26-05-2005 19:44,371,70,26-05-2005 19:44,6.99,NULL
287,26-05-2005 19:44,17,792,26-05-2005 19:44,2.99,1
288,26-05-2005 19:47,82,775,26-05-2005 19:47,8.99,NULL
289,26-05-2005 20:01,81,534,26-05-2005 20:01,0.99,NULL
290,26-05-2005 20:08,429,609,26-05-2005 20:08,2.99,0.5
291,26-05-2005 20:20,577,109,26-05-2005 20:20,5.99,NULL
292,26-05-2005 20:22,515,927,26-05-2005 20:22,6.99,NULL
293,26-05-2005 20:27,158,397,26-05-2005 20:27,5.99,NULL
294,26-05-2005 20:29,369,603,26-05-2005 20:29,4.99,NULL
295,26-05-2005 20:33,65,878,26-05-2005 20:33,4.99,NULL
296,26-05-2005 20:35,468,848,26-05-2005 20:35,6.99,1
297,26-05-2005 20:48,48,349,26-05-2005 20:48,2.99,1
298,26-05-2005 20:52,460,241,26-05-2005 20:52,0.99,NULL
299,26-05-2005 20:55,448,956,26-05-2005 20:55,4.99,NULL
300,26-05-2005 20:57,47,56,26-05-2005 20:57,6.99,1
301,26-05-2005 21:06,274,756,26-05-2005 21:06,2.99,1
302,26-05-2005 21:13,387,641,26-05-2005 21:13,4.99,NULL
303,26-05-2005 21:16,596,246,26-05-2005 21:16,4.99,NULL
304,26-05-2005 21:21,534,370,26-05-2005 21:21,5.99,1
305,26-05-2005 21:22,464,585,26-05-2005 21:22,3.99,NULL
306,26-05-2005 21:31,547,610,26-05-2005 21:31,0.99,0.5
307,26-05-2005 21:48,375,244,26-05-2005 21:48,8.99,NULL
308,26-05-2005 22:01,277,42,26-05-2005 22:01,6.99,NULL
309,26-05-2005 22:38,251,424,26-05-2005 22:38,1.99,NULL
310,26-05-2005 22:41,409,129,26-05-2005 22:41,6.99,NULL
311,26-05-2005 22:51,201,621,26-05-2005 22:51,3.99,NULL
312,26-05-2005 22:52,143,437,26-05-2005 22:52,2.99,0.5
313,26-05-2005 22:56,594,902,26-05-2005 22:56,4.99,1
314,26-05-2005 23:09,203,625,26-05-2005 23:09,0.99,NULL
315,26-05-2005 23:12,238,624,26-05-2005 23:12,4.99,1
316,26-05-2005 23:22,249,838,26-05-2005 23:22,4.99,1
317,26-05-2005 23:23,391,6,26-05-2005 23:23,5.99,0.5
318,26-05-2005 23:37,60,561,26-05-2005 23:37,4.99,1
319,26-05-2005 23:52,77,664,26-05-2005 23:52,2.99,1
320,27-05-2005 00:09,2,243,27-05-2005 00:09,4.99,NULL
322,27-05-2005 00:47,496,994,27-05-2005 00:47,4.99,1
323,27-05-2005 00:49,144,514,27-05-2005 00:49,2.99,NULL
324,27-05-2005 01:00,292,738,27-05-2005 01:00,0.99,NULL
325,27-05-2005 01:09,449,551,27-05-2005 01:09,5.99,0.5
326,27-05-2005 01:10,432,867,27-05-2005 01:10,7.99,NULL
327,27-05-2005 01:18,105,588,27-05-2005 01:18,8.99,NULL
328,27-05-2005 01:29,451,554,27-05-2005 01:29,2.99,NULL
329,27-05-2005 01:57,231,583,27-05-2005 01:57,5.99,1
330,27-05-2005 02:15,248,336,27-05-2005 02:15,7.99,NULL
331,27-05-2005 02:22,67,408,27-05-2005 02:22,9.99,1
332,27-05-2005 02:27,299,334,27-05-2005 02:27,5.99,0.5
333,27-05-2005 02:52,412,871,27-05-2005 02:52,4.99,1
334,27-05-2005 03:03,194,865,27-05-2005 03:03,4.99,0.5
335,27-05-2005 03:07,16,309,27-05-2005 03:07,3.99,NULL
336,27-05-2005 03:15,275,393,27-05-2005 03:15,2.99,NULL
337,27-05-2005 03:22,19,164,27-05-2005 03:22,2.99,NULL
338,27-05-2005 03:42,165,570,27-05-2005 03:42,4.99,1
339,27-05-2005 03:47,516,526,27-05-2005 03:47,3.99,NULL
340,27-05-2005 03:55,209,210,27-05-2005 03:55,9.99,1
341,27-05-2005 04:01,56,906,27-05-2005 04:01,5.99,NULL
342,27-05-2005 04:11,539,875,27-05-2005 04:11,0.99,NULL
343,27-05-2005 04:13,455,727,27-05-2005 04:13,0.99,NULL
344,27-05-2005 04:30,236,505,27-05-2005 04:30,2.99,NULL
345,27-05-2005 04:32,144,305,27-05-2005 04:32,2.99,NULL
346,27-05-2005 04:34,14,941,27-05-2005 04:34,9.99,NULL
347,27-05-2005 04:40,378,355,27-05-2005 04:40,0.99,1
348,27-05-2005 04:50,473,396,27-05-2005 04:50,4.99,NULL
349,27-05-2005 04:53,36,641,27-05-2005 04:53,0.99,0.5
350,27-05-2005 05:01,9,604,27-05-2005 05:01,4.99,NULL
351,27-05-2005 05:39,118,739,27-05-2005 05:39,5.99,NULL
352,27-05-2005 05:48,157,953,27-05-2005 05:48,0.99,NULL
353,27-05-2005 06:03,503,869,27-05-2005 06:03,5.99,0.5
354,27-05-2005 06:12,452,447,27-05-2005 06:12,2.99,NULL
355,27-05-2005 06:15,446,28,27-05-2005 06:15,4.99,1
356,27-05-2005 06:32,382,628,27-05-2005 06:32,2.99,NULL
357,27-05-2005 06:37,198,966,27-05-2005 06:37,0.99,NULL
358,27-05-2005 06:43,102,418,27-05-2005 06:43,0.99,NULL
359,27-05-2005 06:48,152,255,27-05-2005 06:48,4.99,1
360,27-05-2005 06:51,594,764,27-05-2005 06:51,8.99,1
361,27-05-2005 07:03,587,1,27-05-2005 07:03,0.99,NULL
362,27-05-2005 07:10,147,504,27-05-2005 07:10,0.99,0.5
363,27-05-2005 07:14,345,932,27-05-2005 07:14,0.99,NULL
364,27-05-2005 07:20,430,182,27-05-2005 07:20,4.99,1
365,27-05-2005 07:31,167,634,27-05-2005 07:31,2.99,1
366,27-05-2005 07:33,134,79,27-05-2005 07:33,3.99,0.5
367,27-05-2005 07:37,439,753,27-05-2005 07:37,0.99,NULL
368,27-05-2005 07:42,361,275,27-05-2005 07:42,5.99,NULL
369,27-05-2005 07:46,508,209,27-05-2005 07:46,2.99,1
370,27-05-2005 07:49,22,735,27-05-2005 07:49,4.99,NULL
371,27-05-2005 08:08,295,273,27-05-2005 08:08,3.99,1
372,27-05-2005 08:13,510,891,27-05-2005 08:13,5.99,1
373,27-05-2005 08:16,464,360,27-05-2005 08:16,1.99,NULL
374,27-05-2005 08:26,337,966,27-05-2005 08:26,6.99,0.5
375,27-05-2005 08:49,306,394,27-05-2005 08:49,3.99,NULL
376,27-05-2005 08:58,542,702,27-05-2005 08:58,4.99,NULL
377,27-05-2005 09:04,170,661,27-05-2005 09:04,5.99,1
378,27-05-2005 09:23,53,484,27-05-2005 09:23,2.99,0.5
379,27-05-2005 09:25,584,759,27-05-2005 09:25,4.99,NULL
380,27-05-2005 09:34,176,385,27-05-2005 09:34,6.99,NULL
381,27-05-2005 09:43,371,603,27-05-2005 09:43,4.99,NULL
382,27-05-2005 10:12,183,949,27-05-2005 10:12,0.99,1
383,27-05-2005 10:12,298,213,27-05-2005 10:12,3.99,NULL
384,27-05-2005 10:18,371,202,27-05-2005 10:18,5.99,NULL
385,27-05-2005 10:23,213,344,27-05-2005 10:23,0.99,NULL
386,27-05-2005 10:26,109,285,27-05-2005 10:26,0.99,NULL
387,27-05-2005 10:35,506,589,27-05-2005 10:35,2.99,NULL
388,27-05-2005 10:37,28,96,27-05-2005 10:37,2.99,1
389,27-05-2005 10:45,500,151,27-05-2005 10:45,8.99,NULL
390,27-05-2005 11:02,48,823,27-05-2005 11:02,4.99,1
391,27-05-2005 11:03,197,474,27-05-2005 11:03,2.99,1
392,27-05-2005 11:14,359,58,27-05-2005 11:14,2.99,NULL
393,27-05-2005 11:18,251,30,27-05-2005 11:18,2.99,NULL
394,27-05-2005 11:26,274,412,27-05-2005 11:26,5.99,1
